ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,Gene.title
220003_at,9.23E-56,3.56E-60,36.654924,126.256132,3.5202215,LRRC36,leucine rich repeat containing 36
220677_s_at,1.18E-53,9.14E-58,34.546484,120.871917,3.5560429,ADAMTS8,ADAM metallopeptidase with thrombospondin type 1 motif 8
217628_at,9.36E-49,1.08E-52,30.436817,109.466387,2.6869955,CLIC5,chloride intracellular channel 5
237390_at,1.99E-48,3.07E-52,30.090538,108.445008,3.1227661,ADRA1A,adrenoceptor alpha 1A
206159_at,4.26E-48,8.22E-52,29.766421,107.479904,4.0569196,GDF10,growth differentiation factor 10
1554012_at,1.13E-46,2.62E-50,28.64918,104.083966,2.7948437,RSPO2,R-spondin 2
207547_s_at,2.99E-44,8.07E-48,26.870366,98.445145,3.5405567,FAM107A,family with sequence similarity 107 member A
241672_at,8.15E-44,2.52E-47,26.527807,97.32495,3.1372964,SERTM1,serine rich and transmembrane domain containing 1
217046_s_at,2.44E-42,8.49E-46,25.48833,93.85488,4.3851001,AGER,advanced glycosylation end-product specific receptor
211237_s_at,2.95E-42,1.14E-45,25.403426,93.566638,2.2505022,FGFR4,fibroblast growth factor receptor 4
230469_at,6.80E-42,2.89E-45,25.133878,92.646632,4.3664836,RTKN2,rhotekin 2
208195_at,9.94E-42,4.85E-45,24.984852,92.134757,2.2503153,TTN,titin
206030_at,9.94E-42,5.20E-45,24.965015,92.066447,2.6710468,ASPA,aspartoacylase
208016_s_at,9.94E-42,5.37E-45,24.95554,92.033804,2.2976181,AGTR1,angiotensin II receptor type 1
219937_at,7.22E-41,4.18E-44,24.372543,90.007131,2.273683,TRHDE,thyrotropin releasing hormone degrading enzyme
201539_s_at,1.33E-40,8.21E-44,24.182814,89.33978,3.6119527,FHL1,four and a half LIM domains 1
235228_at,1.69E-40,1.11E-43,24.097989,89.040164,3.0932668,CCDC85A,coiled-coil domain containing 85A
217177_s_at,4.78E-40,3.32E-43,23.793481,87.958165,2.8046615,PTPRB,"protein tyrosine phosphatase, receptor type B"
236154_at,4.92E-40,3.61E-43,23.770552,87.876283,2.4674883,QKI,"QKI, KH domain containing RNA binding"
210081_at,8.77E-40,6.77E-43,23.596439,87.252625,5.5067045,AGER,advanced glycosylation end-product specific receptor
235649_at,1.06E-39,8.56E-43,23.532119,87.021392,4.0234901,ADAMTS8,ADAM metallopeptidase with thrombospondin type 1 motif 8
221132_at,1.07E-39,9.29E-43,23.509371,86.9395,3.9880507,CLDN18,claudin 18
209469_at,1.07E-39,9.71E-43,23.497465,86.896617,4.3650507,GPM6A,glycoprotein M6A
214505_s_at,1.07E-39,9.92E-43,23.491584,86.875431,3.6288133,FHL1,four and a half LIM domains 1
209470_s_at,1.10E-39,1.07E-42,23.471662,86.803627,4.9109709,GPM6A,glycoprotein M6A
213706_at,1.22E-39,1.22E-42,23.434513,86.669616,2.4997888,GPD1,glycerol-3-phosphate dehydrogenase 1
1556579_s_at,1.26E-39,1.31E-42,23.4153,86.600247,3.6073433,IGSF10,immunoglobulin superfamily member 10
235642_at,1.88E-39,2.03E-42,23.295671,86.167405,2.3556439,,
211890_x_at,2.94E-39,3.29E-42,23.163769,85.688307,2.2036558,CAPN3,calpain 3
209793_at,4.02E-39,4.65E-42,23.069895,85.346145,2.5258896,GRIA1,glutamate ionotropic receptor AMPA type subunit 1
213715_s_at,6.49E-39,7.76E-42,22.931228,84.838903,2.561815,KANK3,KN motif and ankyrin repeat domains 3
206283_s_at,1.83E-38,2.26E-41,22.643713,83.780234,2.8734776,TAL1,"TAL bHLH transcription factor 1, erythroid differentiation factor"
210298_x_at,2.20E-38,2.80E-41,22.586465,83.568316,3.5237295,FHL1,four and a half LIM domains 1
227108_at,5.60E-38,7.35E-41,22.329437,82.612212,2.1475046,STARD9,StAR related lipid transfer domain containing 9
204579_at,5.62E-38,7.60E-41,22.320743,82.579741,3.2232638,FGFR4,fibroblast growth factor receptor 4
232404_at,8.08E-38,1.12E-40,22.217338,82.192834,2.132419,SHROOM4,shroom family member 4
205846_at,1.53E-37,2.19E-40,22.041326,81.531403,2.7904321,PTPRB,"protein tyrosine phosphatase, receptor type B"
1552327_at,2.06E-37,3.02E-40,21.956682,81.212033,1.8491935,ARMCX4,"armadillo repeat containing, X-linked 4"
214475_x_at,2.18E-37,3.29E-40,21.934662,81.128811,2.8240917,CAPN3,calpain 3
205507_at,2.56E-37,3.95E-40,21.886445,80.946386,1.9763474,ARHGEF15,Rho guanine nucleotide exchange factor 15
209789_at,2.80E-37,4.43E-40,21.856172,80.831708,2.3075359,CORO2B,coronin 2B
1564194_a_at,1.20E-36,1.94E-39,21.471752,79.366091,3.0360327,MS4A15,membrane spanning 4-domains A15
1552388_at,1.53E-36,2.53E-39,21.403527,79.10415,1.6090892,FLJ30901///SCUBE1,"uncharacterized protein FLJ30901///signal peptide, CUB domain and EGF like domain containing 1"
204442_x_at,1.55E-36,2.63E-39,21.39365,79.066181,2.4987917,LTBP4,latent transforming growth factor beta binding protein 4
229985_at,1.74E-36,3.02E-39,21.357748,78.928072,2.0055865,BTNL9,butyrophilin like 9
207302_at,2.41E-36,4.28E-39,21.268448,78.583885,2.8335479,SGCG,sarcoglycan gamma
213176_s_at,4.07E-36,7.39E-39,21.12845,78.042367,1.9732021,LTBP4,latent transforming growth factor beta binding protein 4
238061_at,9.75E-36,1.81E-38,20.900299,77.154808,1.7535863,LGI3,leucine rich repeat LGI family member 3
1552667_a_at,1.11E-35,2.10E-38,20.862234,77.006113,2.2683978,SH2D3C,SH2 domain containing 3C
1557729_at,1.49E-35,2.88E-38,20.782268,76.693166,1.5480714,GRK5,G protein-coupled receptor kinase 5
229172_at,1.56E-35,3.07E-38,20.766089,76.629754,2.1580935,HSPA12B,heat shock protein family A (Hsp70) member 12B
32625_at,1.62E-35,3.25E-38,20.751845,76.573902,2.0713394,NPR1,natriuretic peptide receptor 1
244156_at,2.01E-35,4.11E-38,20.692428,76.340647,2.014131,,
226028_at,2.05E-35,4.27E-38,20.682702,76.302426,2.899273,ROBO4,roundabout guidance receptor 4
206208_at,2.63E-35,5.58E-38,20.614909,76.035682,3.0222121,CA4,carbonic anhydrase 4
217871_s_at,2.78E-35,6.00E-38,-20.596637,75.963695,-1.4287921,MIF,macrophage migration inhibitory factor (glycosylation-inhibiting factor)
206209_s_at,2.83E-35,6.22E-38,20.587668,75.928343,4.7885025,CA4,carbonic anhydrase 4
242324_x_at,3.02E-35,6.76E-38,20.566675,75.845559,2.627522,CCBE1,collagen and calcium binding EGF domains 1
209904_at,3.13E-35,7.16E-38,20.552172,75.788336,3.7788849,TNNC1,"troponin C1, slow skeletal and cardiac type"
219958_at,3.13E-35,7.24E-38,20.549472,75.777681,2.0911976,TMEM74B,transmembrane protein 74B
238062_at,3.46E-35,8.14E-38,20.520015,75.661365,3.3328515,GPIHBP1,glycosylphosphatidylinositol anchored high density lipoprotein binding protein 1
228434_at,3.46E-35,8.29E-38,20.515374,75.643028,4.3343333,BTNL9,butyrophilin like 9
