ID,adj.P.Val,P.Value,t,B,logFC,Gene.symbol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8179967,5.90E-54,1.78E-58,-30.2437923,122.4341591,-3.43,AGER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8178771,6.95E-54,4.18E-58,-30.0036526,121.5965176,-3.52,AGER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8125341,1.21E-53,1.09E-57,-29.7376441,120.6622533,-3.58,AGER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8055348,7.90E-47,9.50E-51,-25.5413391,104.9796853,-1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8055323,1.77E-46,2.66E-50,-25.2861515,103.9652204,-2.97,NCKAP5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7955562,7.43E-46,1.34E-49,-24.8896683,102.3744145,-1.8,ACVRL1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8046488,5.65E-45,1.19E-48,24.3605711,100.2234075,1.87,CDCA7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8078066,6.65E-45,1.60E-48,-24.2892575,99.9310019,-1.65,FGD5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8164252,1.08E-44,2.93E-48,-24.1444037,99.3352289,-1.13,SH2D3C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8148476,2.82E-43,8.49E-47,-23.3476891,96.0140447,-1.33,DENND3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8008900,6.96E-43,2.30E-46,-23.1148163,95.0289454,-1.36,CA4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7930917,1.75E-42,6.32E-46,-22.8807455,94.0321585,-1.72,GRK5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8016841,2.92E-42,1.14E-45,-22.7444941,93.4488613,-3.92,TMEM100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7965156,3.19E-42,1.34E-45,-22.7069629,93.2877897,-1.76,LIN7A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7932542,5.09E-42,2.30E-45,-22.5836276,92.7572603,-1.62,C10orf67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8087925,1.20E-41,5.77E-45,-22.3732985,91.8482092,-1.49,TNNC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7964722,1.29E-41,6.59E-45,-22.3427197,91.715592,-3.85,WIF1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8041781,2.30E-41,1.24E-44,-22.1983497,91.0879105,-1.85,EPAS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8170119,8.97E-41,5.23E-44,-21.8741388,89.6688915,-2.96,FHL1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
