Category	Term	GENE FUNCTION	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0007155	cell adhesion	28	9.655172414	3.21E-09	"CTNNAL1, NEDD9, MMRN1, CDH5, SRPX, SORBS1, CSF3R, DPT, CYR61, SELP, OLR1, CNTN6, ICAM2, PODXL, PCDH17, VWF, LYVE1, CD36, CD34, ITGA8, PECAM1, CX3CR1, PDZD2, MFAP4, ENG, EMP2, MYH10, AOC3"	262	459	16792	3.909727419	5.72E-06	5.72E-06	5.44E-06
GOTERM_BP_DIRECT	GO:0001525	angiogenesis	18	6.206896552	7.72E-08	"PTPRB, RAMP2, EMCN, CAV1, ACVRL1, TBX4, MMP19, MMRN2, TAL1, PECAM1, TEK, ROBO4, HIF3A, ANGPT1, CALCRL, TIE1, TMEM100, JAM3"	262	223	16792	5.173313251	1.38E-04	6.88E-05	1.31E-04
GOTERM_BP_DIRECT	GO:0050900	leukocyte migration	13	4.482758621	4.41E-07	"SELP, CAV1, OLR1, CD34, PODXL, PECAM1, TEK, ANGPT1, ESAM, TREM1, JAM2, PROS1, JAM3"	262	122	16792	6.829433112	7.85E-04	2.62E-04	7.48E-04
GOTERM_BP_DIRECT	GO:0031623	receptor internalization	8	2.75862069	4.04E-06	"RAMP3, RAMP2, DNM3, CAV1, CD36, GRIA1, CALCRL, GHR"	262	43	16792	11.92401917	0.007170798	0.001797541	0.006853067
GOTERM_BP_DIRECT	GO:0042493	response to drug	17	5.862068966	2.31E-05	"LPL, IL6, PTPRM, PPARG, MAOB, SLC6A4, DPYSL2, FOSB, PPARGC1A, ABCA3, SCGB1A1, KCNK3, ABCG2, FOS, BCHE, ADRA1A, CPB2"	262	304	16792	3.584069908	0.040287867	0.008190652	0.03915243
GOTERM_BP_DIRECT	GO:0001570	vasculogenesis	8	2.75862069	2.45E-05	"RAMP2, CAV1, FOXF1, HEG1, TIE1, TMEM100, FZD4, ENG"	262	56	16792	9.155943293	0.042671889	0.007241833	0.04152001
GOTERM_BP_DIRECT	GO:0016337	single organismal cell-cell adhesion	10	3.448275862	2.77E-05	"EMCN, CD93, CD34, FOXF1, ICAM2, ITGA8, LMO7, ESAM, JAM2, CDH5"	262	101	16792	6.345703273	0.048164809	0.007027105	0.04699735
GOTERM_BP_DIRECT	GO:0002576	platelet degranulation	10	3.448275862	3.24E-05	"SELP, VWF, CD36, PPBP, PECAM1, CFD, MMRN1, TTN, PROS1, TIMP3"	262	103	16792	6.222485733	0.056110675	0.007192306	0.054976335
GOTERM_BP_DIRECT	GO:0030198	extracellular matrix organization	13	4.482758621	5.86E-05	"VWF, RXFP1, SPOCK2, FOXF1, FBLN5, ICAM2, ITGA8, NPNT, PECAM1, JAM2, JAM3, ABI3BP, CYR61"	262	196	16792	4.250973672	0.099078276	0.011526049	0.099309953
GOTERM_BP_DIRECT	GO:0032870	cellular response to hormone stimulus	7	2.413793103	6.52E-05	"RAMP2, FOS, SOCS2, FOSB, SLIT2, GHR, SLIT3"	262	45	16792	9.969804919	0.109664625	0.011548504	0.110554395
