Category	Term	GENE FUNCTION	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0007067	mitotic nuclear division	19	13.4751773	1.06E-12	"CDC6, KIF11, NEK2, TPX2, NUF2, KNTC1, CENPF, NDC80, AURKA, ANLN, PBK, CEP55, CCNB2, PLK1, BUB1, CDCA2, CCNA2, ASPM, HELLS"	134	248	16792	9.600625903	9.79E-10	9.79E-10	1.65E-09
GOTERM_BP_DIRECT	GO:0051301	cell division	20	14.18439716	3.92E-11	"KIF14, CDC6, CKS1B, KIF11, NEK2, TPX2, NUF2, KNTC1, CENPF, NDC80, AURKA, CENPE, CCNB1, CCNB2, CDCA7, NCAPG, BUB1, CDCA2, CCNA2, HELLS"	134	350	16792	7.160767591	3.63E-08	1.82E-08	6.13E-08
GOTERM_BP_DIRECT	GO:0000086	G2/M transition of mitotic cell cycle	10	7.092198582	1.42E-06	"CCNB1, CCNB2, PLK1, NEK2, FOXM1, TPX2, AURKA, CHEK1, MELK, HMMR"	134	137	16792	9.1469659	0.001316719	4.39E-04	0.00222605
GOTERM_BP_DIRECT	GO:0030574	collagen catabolic process	7	4.964539007	1.13E-05	"MMP9, COL3A1, COL1A1, MMP13, MMP12, MMP1, COL10A1"	134	64	16792	13.70615672	0.010446934	0.002622028	0.017741457
GOTERM_BP_DIRECT	GO:0007059	chromosome segregation	7	4.964539007	1.61E-05	"KIF11, NEK2, NUF2, CDCA2, CENPF, CENPE, NDC80"	134	68	16792	12.8999122	0.01482869	0.002983487	0.025237631
GOTERM_BP_DIRECT	GO:0051726	regulation of cell cycle	8	5.673758865	5.82E-05	"CCNB1, CCNB2, DTL, PLK1, FOXM1, KIAA0101, CENPF, MYBL2"	134	124	16792	8.084737602	0.052476245	0.008943644	0.091028606
GOTERM_BP_DIRECT	GO:0000281	mitotic cytokinesis	5	3.546099291	7.66E-05	"KIF4A, PLK1, ANLN, CEP55, KIF20A"	134	29	16792	21.60576428	0.068486084	0.010083694	0.119788975
GOTERM_BP_DIRECT	GO:0007062	sister chromatid cohesion	7	4.964539007	1.68E-04	"PLK1, KNTC1, NUF2, BUB1, CENPF, CENPE, NDC80"	134	103	16792	8.516446892	0.144175516	0.019273098	0.262693953
GOTERM_BP_DIRECT	GO:0046602	regulation of mitotic centrosome separation	3	2.127659574	3.70E-04	"KIF11, NEK2, CHEK1"	134	4	16792	93.98507463	0.289950982	0.037332121	0.576853596
GOTERM_BP_DIRECT	GO:0000082	G1/S transition of mitotic cell cycle	6	4.255319149	0.001302767	"CDC6, TYMS, RRM2, CDKN3, MCM4, PPAT"	134	102	16792	7.371378402	0.700951225	0.11371336	2.018831521
GOTERM_BP_DIRECT	GO:0001649	osteoblast differentiation	6	4.255319149	0.001420424	"CYP24A1, ITGA11, COL1A1, IGFBP3, LGR4, SPP1"	134	104	16792	7.229621125	0.731860544	0.112776997	2.199268534
GOTERM_BP_DIRECT	GO:0006260	DNA replication	7	4.964539007	0.001469828	"GINS2, CDC6, DTL, RRM2, KIAA0101, CHEK1, MCM4"	134	155	16792	5.659316322	0.743867984	0.107300437	2.27494044
GOTERM_BP_DIRECT	GO:0007052	mitotic spindle organization	4	2.836879433	0.001686578	"CCNB1, KIF11, AURKA, NDC80"	134	30	16792	16.70845771	0.790512272	0.11329036	2.606289202
GOTERM_BP_DIRECT	GO:0030071	regulation of mitotic metaphase/anaphase transition	3	2.127659574	0.002161345	"CDC6, PLK1, CENPE"	134	9	16792	41.77114428	0.86514715	0.133343194	3.328399575
GOTERM_BP_DIRECT	GO:0008283	cell proliferation	10	7.092198582	0.002559502	"PDK1, CKS1B, TYMS, MKI67, PLK1, SIX1, BUB1, TPX2, CENPF, MELK"	134	366	16792	3.423864285	0.906812115	0.1463288	3.930122888
GOTERM_BP_DIRECT	GO:0048565	digestive tract development	4	2.836879433	0.002641628	"CCNB1, COL3A1, ITGB4, LGR4"	134	35	16792	14.32153518	0.913653251	0.14194451	4.053799723
GOTERM_BP_DIRECT	GO:0090307	mitotic spindle assembly	4	2.836879433	0.002865228	"KIF11, NEK2, TPX2, MYBL2"	134	36	16792	13.92371476	0.929842309	0.144692903	4.38977547
GOTERM_BP_DIRECT	GO:0007080	mitotic metaphase plate congression	4	2.836879433	0.003100145	"KIF14, CCNB1, CENPE, CEP55"	134	37	16792	13.54739814	0.94359477	0.147628629	4.741568018
GOTERM_BP_DIRECT	GO:0022617	extracellular matrix disassembly	5	3.546099291	0.003106603	"MMP9, MMP13, MMP12, MMP1, SPP1"	134	76	16792	8.244304792	0.943932131	0.140703892	4.751222308
GOTERM_BP_DIRECT	GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity	4	2.836879433	0.003604644	"CDC6, SFN, CDKN3, CCNA2"	134	39	16792	12.85265978	0.964702052	0.153966669	5.49297407
GOTERM_BP_DIRECT	GO:0051310	metaphase plate congression	3	2.127659574	0.003901253	"CENPF, CENPE, NDC80"	134	12	16792	31.32835821	0.973207298	0.15832652	5.932154447
GOTERM_BP_DIRECT	GO:0007018	microtubule-based movement	5	3.546099291	0.003908275	"KIF14, KIF4A, KIF11, CENPE, KIF20A"	134	81	16792	7.735397089	0.97338162	0.151958029	5.942528041
GOTERM_BP_DIRECT	GO:0030198	extracellular matrix organization	7	4.964539007	0.004720068	"SERPINB5, COL3A1, ITGA11, ITGB4, COL1A1, COL10A1, SPP1"	134	196	16792	4.475479744	0.987488799	0.173440981	7.134651006
GOTERM_BP_DIRECT	GO:0001822	kidney development	5	3.546099291	0.004839621	"SIX1, SULF1, CENPF, TFAP2A, PPAT"	134	86	16792	7.2856647	0.988805899	0.170707219	7.309014955
GOTERM_BP_DIRECT	GO:0000910	cytokinesis	4	2.836879433	0.006478389	"PRC1, PLK1, ECT2, KIF20A"	134	48	16792	10.44278607	0.997566694	0.213954162	9.668429735
GOTERM_BP_DIRECT	GO:0007051	spindle organization	3	2.127659574	0.006947779	"KIF11, AURKA, ASPM"	134	16	16792	23.49626866	0.998429085	0.21988305	10.33380409
GOTERM_BP_DIRECT	GO:0090190	positive regulation of branching involved in ureteric bud morphogenesis	3	2.127659574	0.009748303	"SIX1, GREM1, LGR4"	134	19	16792	19.7863315	0.999885073	0.285356132	14.20925084
GOTERM_BP_DIRECT	GO:0007094	mitotic spindle assembly checkpoint	3	2.127659574	0.010775698	"PLK1, BUB1, CENPF"	134	20	16792	18.79701493	0.99995605	0.301137791	15.59124833
GOTERM_BP_DIRECT	GO:0031572	G2 DNA damage checkpoint	3	2.127659574	0.010775698	"DTL, PLK1, CHEK1"	134	20	16792	18.79701493	0.99995605	0.301137791	15.59124833
